Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power IT Light Other White
1,1,1,1,1,Tuesday,410.315
1,1,1,1,2,Tuesday,375.891
1,1,1,1,3,Tuesday,364.529
1,1,1,1,4,Tuesday,363.070
1,1,1,1,5,Tuesday,392.949
1,1,1,1,6,Tuesday,450.086
1,1,1,1,7,Tuesday,524.960
1,1,1,1,8,Tuesday,574.490
1,1,1,1,9,Tuesday,556.349
1,1,1,1,10,Tuesday,540.352
1,1,1,1,11,Tuesday,537.444
1,1,1,1,12,Tuesday,528.843
1,1,1,1,13,Tuesday,543.391
1,1,1,1,14,Tuesday,545.707
1,1,1,1,15,Tuesday,556.934
1,1,1,1,16,Tuesday,555.662
1,1,1,1,17,Tuesday,560.465
1,1,1,1,18,Tuesday,614.141
1,1,1,1,19,Tuesday,684.752
1,1,1,1,20,Tuesday,753.718
1,1,1,1,21,Tuesday,788.122
1,1,1,1,22,Tuesday,688.578
1,1,1,1,23,Tuesday,547.596
1,1,1,1,24,Tuesday,465.767
2,1,2,1,1,Wednesday,410.315
2,1,2,1,2,Wednesday,375.891
2,1,2,1,3,Wednesday,364.529
2,1,2,1,4,Wednesday,363.070
2,1,2,1,5,Wednesday,392.949
2,1,2,1,6,Wednesday,450.086
2,1,2,1,7,Wednesday,524.960
2,1,2,1,8,Wednesday,574.490
2,1,2,1,9,Wednesday,556.349
2,1,2,1,10,Wednesday,540.352
2,1,2,1,11,Wednesday,537.444
2,1,2,1,12,Wednesday,528.843
2,1,2,1,13,Wednesday,543.391
2,1,2,1,14,Wednesday,545.707
2,1,2,1,15,Wednesday,556.934
2,1,2,1,16,Wednesday,555.662
2,1,2,1,17,Wednesday,560.465
2,1,2,1,18,Wednesday,614.141
2,1,2,1,19,Wednesday,684.752
2,1,2,1,20,Wednesday,753.718
2,1,2,1,21,Wednesday,788.122
2,1,2,1,22,Wednesday,688.578
2,1,2,1,23,Wednesday,547.596
2,1,2,1,24,Wednesday,465.767
3,1,3,1,1,Thursday,410.315
3,1,3,1,2,Thursday,375.891
3,1,3,1,3,Thursday,364.529
3,1,3,1,4,Thursday,363.070
3,1,3,1,5,Thursday,392.949
3,1,3,1,6,Thursday,450.086
3,1,3,1,7,Thursday,524.960
3,1,3,1,8,Thursday,574.490
3,1,3,1,9,Thursday,556.349
3,1,3,1,10,Thursday,540.352
3,1,3,1,11,Thursday,537.444
3,1,3,1,12,Thursday,528.843
3,1,3,1,13,Thursday,543.391
3,1,3,1,14,Thursday,545.707
3,1,3,1,15,Thursday,556.934
3,1,3,1,16,Thursday,555.662
3,1,3,1,17,Thursday,560.465
3,1,3,1,18,Thursday,614.141
3,1,3,1,19,Thursday,684.752
3,1,3,1,20,Thursday,753.718
3,1,3,1,21,Thursday,788.122
3,1,3,1,22,Thursday,688.578
3,1,3,1,23,Thursday,547.596
3,1,3,1,24,Thursday,465.767
4,1,4,1,1,Friday,410.315
4,1,4,1,2,Friday,375.891
4,1,4,1,3,Friday,364.529
4,1,4,1,4,Friday,363.070
4,1,4,1,5,Friday,392.949
4,1,4,1,6,Friday,450.086
4,1,4,1,7,Friday,524.960
4,1,4,1,8,Friday,574.490
4,1,4,1,9,Friday,556.349
4,1,4,1,10,Friday,540.352
4,1,4,1,11,Friday,537.444
4,1,4,1,12,Friday,528.843
4,1,4,1,13,Friday,543.391
4,1,4,1,14,Friday,545.707
4,1,4,1,15,Friday,556.934
4,1,4,1,16,Friday,555.662
4,1,4,1,17,Friday,560.465
4,1,4,1,18,Friday,614.141
4,1,4,1,19,Friday,684.752
4,1,4,1,20,Friday,753.718
4,1,4,1,21,Friday,788.122
4,1,4,1,22,Friday,688.578
4,1,4,1,23,Friday,547.596
4,1,4,1,24,Friday,465.767
5,1,5,1,1,Saturday,430.005
5,1,5,1,2,Saturday,386.046
5,1,5,1,3,Saturday,365.347
5,1,5,1,4,Saturday,361.877
5,1,5,1,5,Saturday,364.498
5,1,5,1,6,Saturday,369.870
5,1,5,1,7,Saturday,445.234
5,1,5,1,8,Saturday,537.376
5,1,5,1,9,Saturday,586.402
5,1,5,1,10,Saturday,658.176
5,1,5,1,11,Saturday,702.294
5,1,5,1,12,Saturday,688.861
5,1,5,1,13,Saturday,666.968
5,1,5,1,14,Saturday,672.365
5,1,5,1,15,Saturday,668.135
5,1,5,1,16,Saturday,669.132
5,1,5,1,17,Saturday,663.078
5,1,5,1,18,Saturday,676.929
5,1,5,1,19,Saturday,716.053
5,1,5,1,20,Saturday,751.436
5,1,5,1,21,Saturday,764.421
5,1,5,1,22,Saturday,688.816
5,1,5,1,23,Saturday,547.095
5,1,5,1,24,Saturday,477.157
6,1,6,1,1,Sunday,430.005
6,1,6,1,2,Sunday,386.046
6,1,6,1,3,Sunday,365.347
6,1,6,1,4,Sunday,361.877
6,1,6,1,5,Sunday,364.498
6,1,6,1,6,Sunday,369.870
6,1,6,1,7,Sunday,445.234
6,1,6,1,8,Sunday,537.376
6,1,6,1,9,Sunday,586.402
6,1,6,1,10,Sunday,658.176
6,1,6,1,11,Sunday,702.294
6,1,6,1,12,Sunday,688.861
6,1,6,1,13,Sunday,666.968
6,1,6,1,14,Sunday,672.365
6,1,6,1,15,Sunday,668.135
6,1,6,1,16,Sunday,669.132
6,1,6,1,17,Sunday,663.078
6,1,6,1,18,Sunday,676.929
6,1,6,1,19,Sunday,716.053
6,1,6,1,20,Sunday,751.436
6,1,6,1,21,Sunday,764.421
6,1,6,1,22,Sunday,688.816
6,1,6,1,23,Sunday,547.095
6,1,6,1,24,Sunday,477.157
7,1,7,1,1,Monday,410.315
7,1,7,1,2,Monday,375.891
7,1,7,1,3,Monday,364.529
7,1,7,1,4,Monday,363.070
7,1,7,1,5,Monday,392.949
7,1,7,1,6,Monday,450.086
7,1,7,1,7,Monday,524.960
7,1,7,1,8,Monday,574.490
7,1,7,1,9,Monday,556.349
7,1,7,1,10,Monday,540.352
7,1,7,1,11,Monday,537.444
7,1,7,1,12,Monday,528.843
7,1,7,1,13,Monday,543.391
7,1,7,1,14,Monday,545.707
7,1,7,1,15,Monday,556.934
7,1,7,1,16,Monday,555.662
7,1,7,1,17,Monday,560.465
7,1,7,1,18,Monday,614.141
7,1,7,1,19,Monday,684.752
7,1,7,1,20,Monday,753.718
7,1,7,1,21,Monday,788.122
7,1,7,1,22,Monday,688.578
7,1,7,1,23,Monday,547.596
7,1,7,1,24,Monday,465.767
8,1,8,1,1,Tuesday,410.315
8,1,8,1,2,Tuesday,375.891
8,1,8,1,3,Tuesday,364.529
8,1,8,1,4,Tuesday,363.070
8,1,8,1,5,Tuesday,392.949
8,1,8,1,6,Tuesday,450.086
8,1,8,1,7,Tuesday,524.960
8,1,8,1,8,Tuesday,574.490
8,1,8,1,9,Tuesday,556.349
8,1,8,1,10,Tuesday,540.352
8,1,8,1,11,Tuesday,537.444
8,1,8,1,12,Tuesday,528.843
8,1,8,1,13,Tuesday,543.391
8,1,8,1,14,Tuesday,545.707
8,1,8,1,15,Tuesday,556.934
8,1,8,1,16,Tuesday,555.662
8,1,8,1,17,Tuesday,560.465
8,1,8,1,18,Tuesday,614.141
8,1,8,1,19,Tuesday,684.752
8,1,8,1,20,Tuesday,753.718
8,1,8,1,21,Tuesday,788.122
8,1,8,1,22,Tuesday,688.578
8,1,8,1,23,Tuesday,547.596
8,1,8,1,24,Tuesday,465.767
9,1,9,1,1,Wednesday,410.315
9,1,9,1,2,Wednesday,375.891
9,1,9,1,3,Wednesday,364.529
9,1,9,1,4,Wednesday,363.070
9,1,9,1,5,Wednesday,392.949
9,1,9,1,6,Wednesday,450.086
9,1,9,1,7,Wednesday,524.960
9,1,9,1,8,Wednesday,574.490
9,1,9,1,9,Wednesday,556.349
9,1,9,1,10,Wednesday,540.352
9,1,9,1,11,Wednesday,537.444
9,1,9,1,12,Wednesday,528.843
9,1,9,1,13,Wednesday,543.391
9,1,9,1,14,Wednesday,545.707
9,1,9,1,15,Wednesday,556.934
9,1,9,1,16,Wednesday,555.662
9,1,9,1,17,Wednesday,560.465
9,1,9,1,18,Wednesday,614.141
9,1,9,1,19,Wednesday,684.752
9,1,9,1,20,Wednesday,753.718
9,1,9,1,21,Wednesday,788.122
9,1,9,1,22,Wednesday,688.578
9,1,9,1,23,Wednesday,547.596
9,1,9,1,24,Wednesday,465.767
10,1,10,1,1,Thursday,410.315
10,1,10,1,2,Thursday,375.891
10,1,10,1,3,Thursday,364.529
10,1,10,1,4,Thursday,363.070
10,1,10,1,5,Thursday,392.949
10,1,10,1,6,Thursday,450.086
10,1,10,1,7,Thursday,524.960
10,1,10,1,8,Thursday,574.490
10,1,10,1,9,Thursday,556.349
10,1,10,1,10,Thursday,540.352
10,1,10,1,11,Thursday,537.444
10,1,10,1,12,Thursday,528.843
10,1,10,1,13,Thursday,543.391
10,1,10,1,14,Thursday,545.707
10,1,10,1,15,Thursday,556.934
10,1,10,1,16,Thursday,555.662
10,1,10,1,17,Thursday,560.465
10,1,10,1,18,Thursday,614.141
10,1,10,1,19,Thursday,684.752
10,1,10,1,20,Thursday,753.718
10,1,10,1,21,Thursday,788.122
10,1,10,1,22,Thursday,688.578
10,1,10,1,23,Thursday,547.596
10,1,10,1,24,Thursday,465.767
11,1,11,1,1,Friday,410.315
11,1,11,1,2,Friday,375.891
11,1,11,1,3,Friday,364.529
11,1,11,1,4,Friday,363.070
11,1,11,1,5,Friday,392.949
11,1,11,1,6,Friday,450.086
11,1,11,1,7,Friday,524.960
11,1,11,1,8,Friday,574.490
11,1,11,1,9,Friday,556.349
11,1,11,1,10,Friday,540.352
11,1,11,1,11,Friday,537.444
11,1,11,1,12,Friday,528.843
11,1,11,1,13,Friday,543.391
11,1,11,1,14,Friday,545.707
11,1,11,1,15,Friday,556.934
11,1,11,1,16,Friday,555.662
11,1,11,1,17,Friday,560.465
11,1,11,1,18,Friday,614.141
11,1,11,1,19,Friday,684.752
11,1,11,1,20,Friday,753.718
11,1,11,1,21,Friday,788.122
11,1,11,1,22,Friday,688.578
11,1,11,1,23,Friday,547.596
11,1,11,1,24,Friday,465.767
12,1,12,1,1,Saturday,430.005
12,1,12,1,2,Saturday,386.046
12,1,12,1,3,Saturday,365.347
12,1,12,1,4,Saturday,361.877
12,1,12,1,5,Saturday,364.498
12,1,12,1,6,Saturday,369.870
12,1,12,1,7,Saturday,445.234
12,1,12,1,8,Saturday,537.376
12,1,12,1,9,Saturday,586.402
12,1,12,1,10,Saturday,658.176
12,1,12,1,11,Saturday,702.294
12,1,12,1,12,Saturday,688.861
12,1,12,1,13,Saturday,666.968
12,1,12,1,14,Saturday,672.365
12,1,12,1,15,Saturday,668.135
12,1,12,1,16,Saturday,669.132
12,1,12,1,17,Saturday,663.078
12,1,12,1,18,Saturday,676.929
12,1,12,1,19,Saturday,716.053
12,1,12,1,20,Saturday,751.436
12,1,12,1,21,Saturday,764.421
12,1,12,1,22,Saturday,688.816
12,1,12,1,23,Saturday,547.095
12,1,12,1,24,Saturday,477.157
13,1,13,1,1,Sunday,430.005
13,1,13,1,2,Sunday,386.046
13,1,13,1,3,Sunday,365.347
13,1,13,1,4,Sunday,361.877
13,1,13,1,5,Sunday,364.498
13,1,13,1,6,Sunday,369.870
13,1,13,1,7,Sunday,445.234
13,1,13,1,8,Sunday,537.376
13,1,13,1,9,Sunday,586.402
13,1,13,1,10,Sunday,658.176
13,1,13,1,11,Sunday,702.294
13,1,13,1,12,Sunday,688.861
13,1,13,1,13,Sunday,666.968
13,1,13,1,14,Sunday,672.365
13,1,13,1,15,Sunday,668.135
13,1,13,1,16,Sunday,669.132
13,1,13,1,17,Sunday,663.078
13,1,13,1,18,Sunday,676.929
13,1,13,1,19,Sunday,716.053
13,1,13,1,20,Sunday,751.436
13,1,13,1,21,Sunday,764.421
13,1,13,1,22,Sunday,688.816
13,1,13,1,23,Sunday,547.095
13,1,13,1,24,Sunday,477.157
14,1,14,1,1,Monday,410.315
14,1,14,1,2,Monday,375.891
14,1,14,1,3,Monday,364.529
14,1,14,1,4,Monday,363.070
14,1,14,1,5,Monday,392.949
14,1,14,1,6,Monday,450.086
14,1,14,1,7,Monday,524.960
14,1,14,1,8,Monday,574.490
14,1,14,1,9,Monday,556.349
14,1,14,1,10,Monday,540.352
14,1,14,1,11,Monday,537.444
14,1,14,1,12,Monday,528.843
14,1,14,1,13,Monday,543.391
14,1,14,1,14,Monday,545.707
14,1,14,1,15,Monday,556.934
14,1,14,1,16,Monday,555.662
14,1,14,1,17,Monday,560.465
14,1,14,1,18,Monday,614.141
14,1,14,1,19,Monday,684.752
14,1,14,1,20,Monday,753.718
14,1,14,1,21,Monday,788.122
14,1,14,1,22,Monday,688.578
14,1,14,1,23,Monday,547.596
14,1,14,1,24,Monday,465.767
15,1,15,1,1,Tuesday,410.315
15,1,15,1,2,Tuesday,375.891
15,1,15,1,3,Tuesday,364.529
15,1,15,1,4,Tuesday,363.070
15,1,15,1,5,Tuesday,392.949
15,1,15,1,6,Tuesday,450.086
15,1,15,1,7,Tuesday,524.960
15,1,15,1,8,Tuesday,574.490
15,1,15,1,9,Tuesday,556.349
15,1,15,1,10,Tuesday,540.352
15,1,15,1,11,Tuesday,537.444
15,1,15,1,12,Tuesday,528.843
15,1,15,1,13,Tuesday,543.391
15,1,15,1,14,Tuesday,545.707
15,1,15,1,15,Tuesday,556.934
15,1,15,1,16,Tuesday,555.662
15,1,15,1,17,Tuesday,560.465
15,1,15,1,18,Tuesday,614.141
15,1,15,1,19,Tuesday,684.752
15,1,15,1,20,Tuesday,753.718
15,1,15,1,21,Tuesday,788.122
15,1,15,1,22,Tuesday,688.578
15,1,15,1,23,Tuesday,547.596
15,1,15,1,24,Tuesday,465.767
16,1,16,1,1,Wednesday,410.315
16,1,16,1,2,Wednesday,375.891
16,1,16,1,3,Wednesday,364.529
16,1,16,1,4,Wednesday,363.070
16,1,16,1,5,Wednesday,392.949
16,1,16,1,6,Wednesday,450.086
16,1,16,1,7,Wednesday,524.960
16,1,16,1,8,Wednesday,574.490
16,1,16,1,9,Wednesday,556.349
16,1,16,1,10,Wednesday,540.352
16,1,16,1,11,Wednesday,537.444
16,1,16,1,12,Wednesday,528.843
16,1,16,1,13,Wednesday,543.391
16,1,16,1,14,Wednesday,545.707
16,1,16,1,15,Wednesday,556.934
16,1,16,1,16,Wednesday,555.662
16,1,16,1,17,Wednesday,560.465
16,1,16,1,18,Wednesday,614.141
16,1,16,1,19,Wednesday,684.752
16,1,16,1,20,Wednesday,753.718
16,1,16,1,21,Wednesday,788.122
16,1,16,1,22,Wednesday,688.578
16,1,16,1,23,Wednesday,547.596
16,1,16,1,24,Wednesday,465.767
17,1,17,1,1,Thursday,410.315
17,1,17,1,2,Thursday,375.891
17,1,17,1,3,Thursday,364.529
17,1,17,1,4,Thursday,363.070
17,1,17,1,5,Thursday,392.949
17,1,17,1,6,Thursday,450.086
17,1,17,1,7,Thursday,524.960
17,1,17,1,8,Thursday,574.490
17,1,17,1,9,Thursday,556.349
17,1,17,1,10,Thursday,540.352
17,1,17,1,11,Thursday,537.444
17,1,17,1,12,Thursday,528.843
17,1,17,1,13,Thursday,543.391
17,1,17,1,14,Thursday,545.707
17,1,17,1,15,Thursday,556.934
17,1,17,1,16,Thursday,555.662
17,1,17,1,17,Thursday,560.465
17,1,17,1,18,Thursday,614.141
17,1,17,1,19,Thursday,684.752
17,1,17,1,20,Thursday,753.718
17,1,17,1,21,Thursday,788.122
17,1,17,1,22,Thursday,688.578
17,1,17,1,23,Thursday,547.596
17,1,17,1,24,Thursday,465.767
18,1,18,1,1,Friday,410.315
18,1,18,1,2,Friday,375.891
18,1,18,1,3,Friday,364.529
18,1,18,1,4,Friday,363.070
18,1,18,1,5,Friday,392.949
18,1,18,1,6,Friday,450.086
18,1,18,1,7,Friday,524.960
18,1,18,1,8,Friday,574.490
18,1,18,1,9,Friday,556.349
18,1,18,1,10,Friday,540.352
18,1,18,1,11,Friday,537.444
18,1,18,1,12,Friday,528.843
18,1,18,1,13,Friday,543.391
18,1,18,1,14,Friday,545.707
18,1,18,1,15,Friday,556.934
18,1,18,1,16,Friday,555.662
18,1,18,1,17,Friday,560.465
18,1,18,1,18,Friday,614.141
18,1,18,1,19,Friday,684.752
18,1,18,1,20,Friday,753.718
18,1,18,1,21,Friday,788.122
18,1,18,1,22,Friday,688.578
18,1,18,1,23,Friday,547.596
18,1,18,1,24,Friday,465.767
19,1,19,1,1,Saturday,430.005
19,1,19,1,2,Saturday,386.046
19,1,19,1,3,Saturday,365.347
19,1,19,1,4,Saturday,361.877
19,1,19,1,5,Saturday,364.498
19,1,19,1,6,Saturday,369.870
19,1,19,1,7,Saturday,445.234
19,1,19,1,8,Saturday,537.376
19,1,19,1,9,Saturday,586.402
19,1,19,1,10,Saturday,658.176
19,1,19,1,11,Saturday,702.294
19,1,19,1,12,Saturday,688.861
19,1,19,1,13,Saturday,666.968
19,1,19,1,14,Saturday,672.365
19,1,19,1,15,Saturday,668.135
19,1,19,1,16,Saturday,669.132
19,1,19,1,17,Saturday,663.078
19,1,19,1,18,Saturday,676.929
19,1,19,1,19,Saturday,716.053
19,1,19,1,20,Saturday,751.436
19,1,19,1,21,Saturday,764.421
19,1,19,1,22,Saturday,688.816
19,1,19,1,23,Saturday,547.095
19,1,19,1,24,Saturday,477.157
20,1,20,1,1,Sunday,430.005
20,1,20,1,2,Sunday,386.046
20,1,20,1,3,Sunday,365.347
20,1,20,1,4,Sunday,361.877
20,1,20,1,5,Sunday,364.498
20,1,20,1,6,Sunday,369.870
20,1,20,1,7,Sunday,445.234
20,1,20,1,8,Sunday,537.376
20,1,20,1,9,Sunday,586.402
20,1,20,1,10,Sunday,658.176
20,1,20,1,11,Sunday,702.294
20,1,20,1,12,Sunday,688.861
20,1,20,1,13,Sunday,666.968
20,1,20,1,14,Sunday,672.365
20,1,20,1,15,Sunday,668.135
20,1,20,1,16,Sunday,669.132
20,1,20,1,17,Sunday,663.078
20,1,20,1,18,Sunday,676.929
20,1,20,1,19,Sunday,716.053
20,1,20,1,20,Sunday,751.436
20,1,20,1,21,Sunday,764.421
20,1,20,1,22,Sunday,688.816
20,1,20,1,23,Sunday,547.095
20,1,20,1,24,Sunday,477.157
21,1,21,1,1,Monday,410.315
21,1,21,1,2,Monday,375.891
21,1,21,1,3,Monday,364.529
21,1,21,1,4,Monday,363.070
21,1,21,1,5,Monday,392.949
21,1,21,1,6,Monday,450.086
21,1,21,1,7,Monday,524.960
21,1,21,1,8,Monday,574.490
21,1,21,1,9,Monday,556.349
21,1,21,1,10,Monday,540.352
21,1,21,1,11,Monday,537.444
21,1,21,1,12,Monday,528.843
21,1,21,1,13,Monday,543.391
21,1,21,1,14,Monday,545.707
21,1,21,1,15,Monday,556.934
21,1,21,1,16,Monday,555.662
21,1,21,1,17,Monday,560.465
21,1,21,1,18,Monday,614.141
21,1,21,1,19,Monday,684.752
21,1,21,1,20,Monday,753.718
21,1,21,1,21,Monday,788.122
21,1,21,1,22,Monday,688.578
21,1,21,1,23,Monday,547.596
21,1,21,1,24,Monday,465.767
22,1,22,1,1,Tuesday,410.315
22,1,22,1,2,Tuesday,375.891
22,1,22,1,3,Tuesday,364.529
22,1,22,1,4,Tuesday,363.070
22,1,22,1,5,Tuesday,392.949
22,1,22,1,6,Tuesday,450.086
22,1,22,1,7,Tuesday,524.960
22,1,22,1,8,Tuesday,574.490
22,1,22,1,9,Tuesday,556.349
22,1,22,1,10,Tuesday,540.352
22,1,22,1,11,Tuesday,537.444
22,1,22,1,12,Tuesday,528.843
22,1,22,1,13,Tuesday,543.391
22,1,22,1,14,Tuesday,545.707
22,1,22,1,15,Tuesday,556.934
22,1,22,1,16,Tuesday,555.662
22,1,22,1,17,Tuesday,560.465
22,1,22,1,18,Tuesday,614.141
22,1,22,1,19,Tuesday,684.752
22,1,22,1,20,Tuesday,753.718
22,1,22,1,21,Tuesday,788.122
22,1,22,1,22,Tuesday,688.578
22,1,22,1,23,Tuesday,547.596
22,1,22,1,24,Tuesday,465.767
23,1,23,1,1,Wednesday,410.315
23,1,23,1,2,Wednesday,375.891
23,1,23,1,3,Wednesday,364.529
23,1,23,1,4,Wednesday,363.070
23,1,23,1,5,Wednesday,392.949
23,1,23,1,6,Wednesday,450.086
23,1,23,1,7,Wednesday,524.960
23,1,23,1,8,Wednesday,574.490
23,1,23,1,9,Wednesday,556.349
23,1,23,1,10,Wednesday,540.352
23,1,23,1,11,Wednesday,537.444
23,1,23,1,12,Wednesday,528.843
23,1,23,1,13,Wednesday,543.391
23,1,23,1,14,Wednesday,545.707
23,1,23,1,15,Wednesday,556.934
23,1,23,1,16,Wednesday,555.662
23,1,23,1,17,Wednesday,560.465
23,1,23,1,18,Wednesday,614.141
23,1,23,1,19,Wednesday,684.752
23,1,23,1,20,Wednesday,753.718
23,1,23,1,21,Wednesday,788.122
23,1,23,1,22,Wednesday,688.578
23,1,23,1,23,Wednesday,547.596
23,1,23,1,24,Wednesday,465.767
24,1,24,1,1,Thursday,410.315
24,1,24,1,2,Thursday,375.891
24,1,24,1,3,Thursday,364.529
24,1,24,1,4,Thursday,363.070
24,1,24,1,5,Thursday,392.949
24,1,24,1,6,Thursday,450.086
24,1,24,1,7,Thursday,524.960
24,1,24,1,8,Thursday,574.490
24,1,24,1,9,Thursday,556.349
24,1,24,1,10,Thursday,540.352
24,1,24,1,11,Thursday,537.444
24,1,24,1,12,Thursday,528.843
24,1,24,1,13,Thursday,543.391
24,1,24,1,14,Thursday,545.707
24,1,24,1,15,Thursday,556.934
24,1,24,1,16,Thursday,555.662
24,1,24,1,17,Thursday,560.465
24,1,24,1,18,Thursday,614.141
24,1,24,1,19,Thursday,684.752
24,1,24,1,20,Thursday,753.718
24,1,24,1,21,Thursday,788.122
24,1,24,1,22,Thursday,688.578
24,1,24,1,23,Thursday,547.596
24,1,24,1,24,Thursday,465.767
25,1,25,1,1,Friday,410.315
25,1,25,1,2,Friday,375.891
25,1,25,1,3,Friday,364.529
25,1,25,1,4,Friday,363.070
25,1,25,1,5,Friday,392.949
25,1,25,1,6,Friday,450.086
25,1,25,1,7,Friday,524.960
25,1,25,1,8,Friday,574.490
25,1,25,1,9,Friday,556.349
25,1,25,1,10,Friday,540.352
25,1,25,1,11,Friday,537.444
25,1,25,1,12,Friday,528.843
25,1,25,1,13,Friday,543.391
25,1,25,1,14,Friday,545.707
25,1,25,1,15,Friday,556.934
25,1,25,1,16,Friday,555.662
25,1,25,1,17,Friday,560.465
25,1,25,1,18,Friday,614.141
25,1,25,1,19,Friday,684.752
25,1,25,1,20,Friday,753.718
25,1,25,1,21,Friday,788.122
25,1,25,1,22,Friday,688.578
25,1,25,1,23,Friday,547.596
25,1,25,1,24,Friday,465.767
26,1,26,1,1,Saturday,430.005
26,1,26,1,2,Saturday,386.046
26,1,26,1,3,Saturday,365.347
26,1,26,1,4,Saturday,361.877
26,1,26,1,5,Saturday,364.498
26,1,26,1,6,Saturday,369.870
26,1,26,1,7,Saturday,445.234
26,1,26,1,8,Saturday,537.376
26,1,26,1,9,Saturday,586.402
26,1,26,1,10,Saturday,658.176
26,1,26,1,11,Saturday,702.294
26,1,26,1,12,Saturday,688.861
26,1,26,1,13,Saturday,666.968
26,1,26,1,14,Saturday,672.365
26,1,26,1,15,Saturday,668.135
26,1,26,1,16,Saturday,669.132
26,1,26,1,17,Saturday,663.078
26,1,26,1,18,Saturday,676.929
26,1,26,1,19,Saturday,716.053
26,1,26,1,20,Saturday,751.436
26,1,26,1,21,Saturday,764.421
26,1,26,1,22,Saturday,688.816
26,1,26,1,23,Saturday,547.095
26,1,26,1,24,Saturday,477.157
27,1,27,1,1,Sunday,430.005
27,1,27,1,2,Sunday,386.046
27,1,27,1,3,Sunday,365.347
27,1,27,1,4,Sunday,361.877
27,1,27,1,5,Sunday,364.498
27,1,27,1,6,Sunday,369.870
27,1,27,1,7,Sunday,445.234
27,1,27,1,8,Sunday,537.376
27,1,27,1,9,Sunday,586.402
27,1,27,1,10,Sunday,658.176
27,1,27,1,11,Sunday,702.294
27,1,27,1,12,Sunday,688.861
27,1,27,1,13,Sunday,666.968
27,1,27,1,14,Sunday,672.365
27,1,27,1,15,Sunday,668.135
27,1,27,1,16,Sunday,669.132
27,1,27,1,17,Sunday,663.078
27,1,27,1,18,Sunday,676.929
27,1,27,1,19,Sunday,716.053
27,1,27,1,20,Sunday,751.436
27,1,27,1,21,Sunday,764.421
27,1,27,1,22,Sunday,688.816
27,1,27,1,23,Sunday,547.095
27,1,27,1,24,Sunday,477.157
28,1,28,1,1,Monday,410.315
28,1,28,1,2,Monday,375.891
28,1,28,1,3,Monday,364.529
28,1,28,1,4,Monday,363.070
28,1,28,1,5,Monday,392.949
28,1,28,1,6,Monday,450.086
28,1,28,1,7,Monday,524.960
28,1,28,1,8,Monday,574.490
28,1,28,1,9,Monday,556.349
28,1,28,1,10,Monday,540.352
28,1,28,1,11,Monday,537.444
28,1,28,1,12,Monday,528.843
28,1,28,1,13,Monday,543.391
28,1,28,1,14,Monday,545.707
28,1,28,1,15,Monday,556.934
28,1,28,1,16,Monday,555.662
28,1,28,1,17,Monday,560.465
28,1,28,1,18,Monday,614.141
28,1,28,1,19,Monday,684.752
28,1,28,1,20,Monday,753.718
28,1,28,1,21,Monday,788.122
28,1,28,1,22,Monday,688.578
28,1,28,1,23,Monday,547.596
28,1,28,1,24,Monday,465.767
29,1,29,1,1,Tuesday,410.315
29,1,29,1,2,Tuesday,375.891
29,1,29,1,3,Tuesday,364.529
29,1,29,1,4,Tuesday,363.070
29,1,29,1,5,Tuesday,392.949
29,1,29,1,6,Tuesday,450.086
29,1,29,1,7,Tuesday,524.960
29,1,29,1,8,Tuesday,574.490
29,1,29,1,9,Tuesday,556.349
29,1,29,1,10,Tuesday,540.352
29,1,29,1,11,Tuesday,537.444
29,1,29,1,12,Tuesday,528.843
29,1,29,1,13,Tuesday,543.391
29,1,29,1,14,Tuesday,545.707
29,1,29,1,15,Tuesday,556.934
29,1,29,1,16,Tuesday,555.662
29,1,29,1,17,Tuesday,560.465
29,1,29,1,18,Tuesday,614.141
29,1,29,1,19,Tuesday,684.752
29,1,29,1,20,Tuesday,753.718
29,1,29,1,21,Tuesday,788.122
29,1,29,1,22,Tuesday,688.578
29,1,29,1,23,Tuesday,547.596
29,1,29,1,24,Tuesday,465.767
30,1,30,1,1,Wednesday,410.315
30,1,30,1,2,Wednesday,375.891
30,1,30,1,3,Wednesday,364.529
30,1,30,1,4,Wednesday,363.070
30,1,30,1,5,Wednesday,392.949
30,1,30,1,6,Wednesday,450.086
30,1,30,1,7,Wednesday,524.960
30,1,30,1,8,Wednesday,574.490
30,1,30,1,9,Wednesday,556.349
30,1,30,1,10,Wednesday,540.352
30,1,30,1,11,Wednesday,537.444
30,1,30,1,12,Wednesday,528.843
30,1,30,1,13,Wednesday,543.391
30,1,30,1,14,Wednesday,545.707
30,1,30,1,15,Wednesday,556.934
30,1,30,1,16,Wednesday,555.662
30,1,30,1,17,Wednesday,560.465
30,1,30,1,18,Wednesday,614.141
30,1,30,1,19,Wednesday,684.752
30,1,30,1,20,Wednesday,753.718
30,1,30,1,21,Wednesday,788.122
30,1,30,1,22,Wednesday,688.578
30,1,30,1,23,Wednesday,547.596
30,1,30,1,24,Wednesday,465.767
31,1,31,1,1,Thursday,410.315
31,1,31,1,2,Thursday,375.891
31,1,31,1,3,Thursday,364.529
31,1,31,1,4,Thursday,363.070
31,1,31,1,5,Thursday,392.949
31,1,31,1,6,Thursday,450.086
31,1,31,1,7,Thursday,524.960
31,1,31,1,8,Thursday,574.490
31,1,31,1,9,Thursday,556.349
31,1,31,1,10,Thursday,540.352
31,1,31,1,11,Thursday,537.444
