pilot_site_id,days,days_with_data,energy_in_kwh,energy_out_kwh,split_hp_heat_output_kwh,period_simple_tank_heat_loss_estimate_kwh,daily_avg_simple_tank_heat_loss_estimate_kwh,cop_period,cop_average,cop_period_split_hp,cop_period_simple_tank_heat_loss_adjusted,element_on_hours,heat_pump_only_hours,system_on_hours,idle_hours,ambient_temperature_c_system_on,water_l,daily_avg_water_l,energy_in_kwh_idle,energy_in_kwh_hp_only,energy_in_kwh_element,avg_hot_outlet_c_corrected,avg_cold_inlet_c_corrected,avg_ambient_temperature_c_draw_weighted,hot_water_temp_include_tank_temps,hot_water_apply_forward_looking_maximum,cold_water_temp_include_ambient_temp,cold_water_apply_forward_looking_minimum,zone,niwa_climate_zone,household_size,number_of_people,new_system_type,existing_water_heater_type,existing_system_indoor_or_outdoor,new_system_indoor_or_outdoor,refrigerant,tank_volume_l,electrical_element_w,rated_power_hp_only_w,heat_pump_threshold_w,electrical_element_threshold_w,ua_from_as_nzs_4692_w_per_k
pilot_001,336,307,1981.5635166666666,5177.018406431443,0.0,402.68045022584016,1.3116627043186977,2.6125927142320853,2.6125927142320853,0.0,2.815806210463192,93.83333333333334,2964.5,3058.3333333333335,4300.533333333333,11.946765830544958,164370.015,535.4072149837134,4.725083333333334,1731.8568166666666,244.98161666666664,42.69761749987672,15.610649725567646,13.004681159331888,no,yes,no,yes,1,Dunedin,Large,6,Integral,,,,R290,280,3250,1000,150,1200,1.712121212
pilot_002,336,281,1085.2864666666667,3164.248937843223,0.0,265.0728229871278,0.9433196547584618,2.9155886809883955,2.9155886809883955,0.0,3.1598309443248844,2.466666666666667,1276.4333333333334,1278.9,5422.916666666666,12.373982977037558,103910.04,369.7866192170818,10.935749999999999,1069.9980500000001,4.352666666666666,45.72693259493886,19.53808382693097,15.433182014627269,no,yes,no,yes,1,Wellington,Medium,4,Integral,Electric,Indoor,Outdoor,R290,270,1500,665,150,1100,1.712121212
pilot_003,336,325,836.8285333333333,1186.6294379242358,0.0,333.4804309334387,1.0260936336413498,1.4180078602214279,1.4180078602214279,0.0,1.8165129513481468,0.13333333333333333,796.3,796.4333333333333,6985.566666666667,18.63382926202235,45359.165,139.56666153846155,27.254283333333333,802.22425,7.35,41.85031082543848,19.351822247786085,19.391935139763923,no,yes,no,yes,1,Northland,Medium,3,Split,Electric,Indoor,Outdoor,R134a,250,3000,930,150,1300,1.636363636
pilot_004,336,261,712.4141999999999,1008.3418441163137,0.0,280.3158800558764,1.0740072032792198,1.4153870657214775,1.4153870657214775,0.0,1.808860244745529,29.616666666666667,1157.4666666666667,1187.0833333333333,5058.916666666666,13.281438677290277,22478.955,86.1262643678161,15.48525,637.01665,59.9123,55.79289994731738,17.21532277286244,15.757279227168253,no,yes,no,yes,2,Northland,Small,2,Integral,Low pressure electric,Indoor,Outdoor,,220,1700,550,150,800,1.484848485
pilot_005,336,317,581.21375,546.8078470496308,0.0,334.35497389760803,1.05474755172747,0.9408033568538783,0.9408033568538783,0.0,1.5160735976174666,93.28333333333333,511.4166666666667,604.7,6985.299999999999,16.89190650129541,21237.675,66.99582018927444,21.5467,403.92005,155.747,42.18672129293108,20.043997403734167,16.489879660742055,no,yes,no,yes,1,Dunedin,Small,2,Integral,Electric,Indoor,Outdoor,R290,260,1500,660,150,1300,1.636363636
pilot_006,336,323,900.9935666666668,1668.763081132779,0.0,375.6873327598693,1.1631186772751372,1.8521365111479844,1.8521365111479844,0.0,2.2691065613890413,21.783333333333335,1633.9666666666667,1655.75,6078.25,16.45035462022835,57665.915,178.53224458204335,19.149733333333337,845.43255,36.41128333333334,43.153221929352895,18.266652127855767,18.279246939740744,no,yes,no,yes,1,Northland,Medium,4,Integral,Electric,Indoor,Outdoor,R134a,302,1700,550,150,800,1.787878788
pilot_007,336,107,306.9013333333333,488.8833551930611,0.0,78.0749594938146,0.7296725186337814,1.5929658886886378,1.5929658886886378,0.0,1.847363478447609,0.0,304.3666666666668,304.3666666666668,2263.6333333333337,17.224274003747855,15352.5,143.48130841121494,4.567016666666667,302.33431666666667,0.0,44.920404627585086,17.534353035336267,15.309870296368668,no,yes,no,yes,1,Dunedin,Medium,4,Split,Low pressure electric,Indoor,Outdoor,R134a,180,3000,930,150,1300,1.333333333
pilot_008,336,327,896.1425999999999,1495.7108481426044,0.0,346.46130218664496,1.0595146855860702,1.6690545100105771,1.6690545100105771,0.0,2.0556685401734605,100.19999999999999,941.9333333333333,1042.1333333333332,6787.466666666667,18.392400526724025,53377.17,163.2329357798165,20.43686666666667,706.2978499999999,169.40788333333333,43.84921665872787,19.750418953462688,17.365682243296153,no,yes,no,yes,1,Manawatu,Medium,3,Integral,Electric,Indoor,Outdoor,R290,260,1500,660,150,1300,1.636363636
pilot_009,336,290,1755.75445,3221.8904738308165,0.0,377.0210591429976,1.3000726177344746,1.835046167094047,1.835046167094047,0.0,2.0497806700554366,238.81666666666666,1314.1333333333334,1552.95,5365.049999999999,11.385028750639464,85717.0,295.57586206896553,258.88461666666666,1084.7188166666665,412.1510166666667,48.21341386492761,15.88777723753748,12.59672330482868,no,yes,no,yes,3,Wairarapa,Medium,3,Integral,Gas Instant,Outdoor,Outdoor,R290,270,1500,665,150,1100,1.712121212
pilot_010,336,195,846.8449499999999,1832.6474062024613,0.0,236.5178628386342,1.212912117121201,2.1640884865670644,2.1640884865670644,0.0,2.4433814821014117,53.76666666666667,936.4499999999998,990.2166666666665,3672.7833333333333,15.352778195344454,51700.825,265.13243589743587,12.054100000000002,742.80155,91.98929999999999,48.80750385229346,18.322607692651907,16.503723852186113,no,yes,no,yes,2,Wellington,Large,5,Integral,Low pressure electric,Indoor,,R290,270,1500,665,150,1100,1.712121212
