Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
6,1,6,1,23,Sunday,560.593
6,1,6,1,24,Sunday,486.409
7,1,7,1,1,Monday,417.15
7,1,7,1,2,Monday,383.285
7,1,7,1,3,Monday,371.115
7,1,7,1,4,Monday,370.019
7,1,7,1,5,Monday,401.484
7,1,7,1,6,Monday,475.637
7,1,7,1,7,Monday,588.172
7,1,7,1,8,Monday,622.447
7,1,7,1,9,Monday,614.693
7,1,7,1,10,Monday,601.794
7,1,7,1,11,Monday,644.683
7,1,7,1,12,Monday,671.489
7,1,7,1,13,Monday,632.589
7,1,7,1,14,Monday,621.253
7,1,7,1,15,Monday,668.336
7,1,7,1,16,Monday,893.497
7,1,7,1,17,Monday,1256.613
7,1,7,1,18,Monday,1088.619
7,1,7,1,19,Monday,1035.296
7,1,7,1,20,Monday,896.448
7,1,7,1,21,Monday,854.855
7,1,7,1,22,Monday,709.289
7,1,7,1,23,Monday,563.353
7,1,7,1,24,Monday,478.195
8,1,8,1,1,Tuesday,417.15
8,1,8,1,2,Tuesday,383.285
8,1,8,1,3,Tuesday,371.115
8,1,8,1,4,Tuesday,370.019
8,1,8,1,5,Tuesday,401.484
8,1,8,1,6,Tuesday,475.637
8,1,8,1,7,Tuesday,588.172
8,1,8,1,8,Tuesday,622.447
8,1,8,1,9,Tuesday,614.693
8,1,8,1,10,Tuesday,601.794
8,1,8,1,11,Tuesday,644.683
8,1,8,1,12,Tuesday,671.489
8,1,8,1,13,Tuesday,632.589
8,1,8,1,14,Tuesday,621.253
8,1,8,1,15,Tuesday,668.336
8,1,8,1,16,Tuesday,893.497
8,1,8,1,17,Tuesday,1256.613
8,1,8,1,18,Tuesday,1088.619
8,1,8,1,19,Tuesday,1035.296
8,1,8,1,20,Tuesday,896.448
8,1,8,1,21,Tuesday,854.855
8,1,8,1,22,Tuesday,709.289
8,1,8,1,23,Tuesday,563.353
8,1,8,1,24,Tuesday,478.195
9,1,9,1,1,Wednesday,417.15
9,1,9,1,2,Wednesday,383.285
9,1,9,1,3,Wednesday,371.115
9,1,9,1,4,Wednesday,370.019
9,1,9,1,5,Wednesday,401.484
9,1,9,1,6,Wednesday,475.637
9,1,9,1,7,Wednesday,588.172
9,1,9,1,8,Wednesday,622.447
9,1,9,1,9,Wednesday,614.693
9,1,9,1,10,Wednesday,601.794
9,1,9,1,11,Wednesday,644.683
9,1,9,1,12,Wednesday,671.489
9,1,9,1,13,Wednesday,632.589
9,1,9,1,14,Wednesday,621.253
9,1,9,1,15,Wednesday,668.336
9,1,9,1,16,Wednesday,893.497
9,1,9,1,17,Wednesday,1256.613
9,1,9,1,18,Wednesday,1088.619
9,1,9,1,19,Wednesday,1035.296
9,1,9,1,20,Wednesday,896.448
9,1,9,1,21,Wednesday,854.855
9,1,9,1,22,Wednesday,709.289
9,1,9,1,23,Wednesday,563.353
9,1,9,1,24,Wednesday,478.195
10,1,10,1,1,Thursday,417.15
10,1,10,1,2,Thursday,383.285
10,1,10,1,3,Thursday,371.115
10,1,10,1,4,Thursday,370.019
10,1,10,1,5,Thursday,401.484
