Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],DayType,Power Cook IT Light Other White
71,3,12,1,22,Tuesday,776.766
71,3,12,1,23,Tuesday,603.41
71,3,12,1,24,Tuesday,491.474
72,3,13,1,1,Wednesday,421.186
72,3,13,1,2,Wednesday,381.319
72,3,13,1,3,Wednesday,367.392
72,3,13,1,4,Wednesday,365.367
72,3,13,1,5,Wednesday,376.17
72,3,13,1,6,Wednesday,438.517
72,3,13,1,7,Wednesday,595.783
72,3,13,1,8,Wednesday,662.737
72,3,13,1,9,Wednesday,607.251
72,3,13,1,10,Wednesday,581.662
72,3,13,1,11,Wednesday,595.761
72,3,13,1,12,Wednesday,608.378
72,3,13,1,13,Wednesday,633.388
72,3,13,1,14,Wednesday,599.397
72,3,13,1,15,Wednesday,624.878
72,3,13,1,16,Wednesday,754.702
72,3,13,1,17,Wednesday,1119.17
72,3,13,1,18,Wednesday,1452.512
72,3,13,1,19,Wednesday,1338.304
72,3,13,1,20,Wednesday,1127.002
72,3,13,1,21,Wednesday,938.653
72,3,13,1,22,Wednesday,776.766
72,3,13,1,23,Wednesday,603.41
72,3,13,1,24,Wednesday,491.474
73,3,14,1,1,Thursday,421.186
73,3,14,1,2,Thursday,381.319
73,3,14,1,3,Thursday,367.392
73,3,14,1,4,Thursday,365.367
73,3,14,1,5,Thursday,376.17
73,3,14,1,6,Thursday,438.517
73,3,14,1,7,Thursday,595.783
73,3,14,1,8,Thursday,662.737
73,3,14,1,9,Thursday,607.251
73,3,14,1,10,Thursday,581.662
73,3,14,1,11,Thursday,595.761
73,3,14,1,12,Thursday,608.378
73,3,14,1,13,Thursday,633.388
73,3,14,1,14,Thursday,599.397
73,3,14,1,15,Thursday,624.878
73,3,14,1,16,Thursday,754.702
73,3,14,1,17,Thursday,1119.17
73,3,14,1,18,Thursday,1452.512
73,3,14,1,19,Thursday,1338.304
73,3,14,1,20,Thursday,1127.002
73,3,14,1,21,Thursday,938.653
73,3,14,1,22,Thursday,776.766
73,3,14,1,23,Thursday,603.41
73,3,14,1,24,Thursday,491.474
74,3,15,1,1,Friday,421.186
74,3,15,1,2,Friday,381.319
74,3,15,1,3,Friday,367.392
74,3,15,1,4,Friday,365.367
74,3,15,1,5,Friday,376.17
74,3,15,1,6,Friday,438.517
74,3,15,1,7,Friday,595.783
74,3,15,1,8,Friday,662.737
74,3,15,1,9,Friday,607.251
74,3,15,1,10,Friday,581.662
74,3,15,1,11,Friday,595.761
74,3,15,1,12,Friday,608.378
74,3,15,1,13,Friday,633.388
74,3,15,1,14,Friday,599.397
74,3,15,1,15,Friday,624.878
74,3,15,1,16,Friday,754.702
74,3,15,1,17,Friday,1119.17
74,3,15,1,18,Friday,1452.512
74,3,15,1,19,Friday,1338.304
74,3,15,1,20,Friday,1127.002
74,3,15,1,21,Friday,938.653
74,3,15,1,22,Friday,776.766
74,3,15,1,23,Friday,603.41
74,3,15,1,24,Friday,491.474
75,3,16,1,1,Saturday,445.843
75,3,16,1,2,Saturday,393.997
75,3,16,1,3,Saturday,369.982
75,3,16,1,4,Saturday,364.782
75,3,16,1,5,Saturday,371.93
75,3,16,1,6,Saturday,387.485
75,3,16,1,7,Saturday,472.67
75,3,16,1,8,Saturday,605.47
75,3,16,1,9,Saturday,697.663
75,3,16,1,10,Saturday,787.551
75,3,16,1,11,Saturday,865.457
75,3,16,1,12,Saturday,881.378
75,3,16,1,13,Saturday,839.495
75,3,16,1,14,Saturday,839.577
75,3,16,1,15,Saturday,805.005
75,3,16,1,16,Saturday,891.599
75,3,16,1,17,Saturday,1153.224
75,3,16,1,18,Saturday,1325.023
75,3,16,1,19,Saturday,1208.335
75,3,16,1,20,Saturday,1019.081
75,3,16,1,21,Saturday,886.743
75,3,16,1,22,Saturday,753.739
75,3,16,1,23,Saturday,595.242
75,3,16,1,24,Saturday,509.468
76,3,17,1,1,Sunday,445.843
76,3,17,1,2,Sunday,393.997
76,3,17,1,3,Sunday,369.982
76,3,17,1,4,Sunday,364.782
76,3,17,1,5,Sunday,371.93
76,3,17,1,6,Sunday,387.485
76,3,17,1,7,Sunday,472.67
76,3,17,1,8,Sunday,605.47
76,3,17,1,9,Sunday,697.663
76,3,17,1,10,Sunday,787.551
76,3,17,1,11,Sunday,865.457
76,3,17,1,12,Sunday,881.378
76,3,17,1,13,Sunday,839.495
76,3,17,1,14,Sunday,839.577
76,3,17,1,15,Sunday,805.005
76,3,17,1,16,Sunday,891.599
76,3,17,1,17,Sunday,1153.224
76,3,17,1,18,Sunday,1325.023
76,3,17,1,19,Sunday,1208.335
76,3,17,1,20,Sunday,1019.081
76,3,17,1,21,Sunday,886.743
76,3,17,1,22,Sunday,753.739
76,3,17,1,23,Sunday,595.242
76,3,17,1,24,Sunday,509.468
77,3,18,0,1,Monday,421.186
77,3,18,0,2,Monday,381.319
77,3,18,0,3,Monday,367.392
77,3,18,0,4,Monday,365.367
77,3,18,0,5,Monday,376.17
77,3,18,0,6,Monday,438.517
77,3,18,0,7,Monday,595.783
77,3,18,0,8,Monday,662.737
77,3,18,0,9,Monday,607.251
77,3,18,0,10,Monday,581.662
77,3,18,0,11,Monday,595.761
77,3,18,0,12,Monday,608.378
77,3,18,0,13,Monday,633.388
77,3,18,0,14,Monday,599.397
77,3,18,0,15,Monday,624.878
77,3,18,0,16,Monday,754.702
77,3,18,0,17,Monday,1119.17
77,3,18,0,18,Monday,1452.512
77,3,18,0,19,Monday,1338.304
77,3,18,0,20,Monday,1127.002
77,3,18,0,21,Monday,938.653
77,3,18,0,22,Monday,776.766
77,3,18,0,23,Monday,603.41
77,3,18,0,24,Monday,491.474
78,3,19,0,1,Tuesday,421.186
78,3,19,0,2,Tuesday,381.319
78,3,19,0,3,Tuesday,367.392
78,3,19,0,4,Tuesday,365.367
78,3,19,0,5,Tuesday,376.17
78,3,19,0,6,Tuesday,438.517
78,3,19,0,7,Tuesday,595.783
78,3,19,0,8,Tuesday,662.737
78,3,19,0,9,Tuesday,607.251
78,3,19,0,10,Tuesday,581.662
78,3,19,0,11,Tuesday,595.761
78,3,19,0,12,Tuesday,608.378
78,3,19,0,13,Tuesday,633.388
78,3,19,0,14,Tuesday,599.397
78,3,19,0,15,Tuesday,624.878
78,3,19,0,16,Tuesday,754.702
78,3,19,0,17,Tuesday,1119.17
78,3,19,0,18,Tuesday,1452.512
78,3,19,0,19,Tuesday,1338.304
78,3,19,0,20,Tuesday,1127.002
78,3,19,0,21,Tuesday,938.653
78,3,19,0,22,Tuesday,776.766
78,3,19,0,23,Tuesday,603.41
78,3,19,0,24,Tuesday,491.474
79,3,20,0,1,Wednesday,421.186
79,3,20,0,2,Wednesday,381.319
79,3,20,0,3,Wednesday,367.392
79,3,20,0,4,Wednesday,365.367
79,3,20,0,5,Wednesday,376.17
79,3,20,0,6,Wednesday,438.517
79,3,20,0,7,Wednesday,595.783
79,3,20,0,8,Wednesday,662.737
79,3,20,0,9,Wednesday,607.251
79,3,20,0,10,Wednesday,581.662
79,3,20,0,11,Wednesday,595.761
79,3,20,0,12,Wednesday,608.378
79,3,20,0,13,Wednesday,633.388
79,3,20,0,14,Wednesday,599.397
79,3,20,0,15,Wednesday,624.878
79,3,20,0,16,Wednesday,754.702
79,3,20,0,17,Wednesday,1119.17
79,3,20,0,18,Wednesday,1452.512
79,3,20,0,19,Wednesday,1338.304
79,3,20,0,20,Wednesday,1127.002
79,3,20,0,21,Wednesday,938.653
79,3,20,0,22,Wednesday,776.766
79,3,20,0,23,Wednesday,603.41
79,3,20,0,24,Wednesday,491.474
80,3,21,0,1,Thursday,421.186
80,3,21,0,2,Thursday,381.319
80,3,21,0,3,Thursday,367.392
80,3,21,0,4,Thursday,365.367
80,3,21,0,5,Thursday,376.17
80,3,21,0,6,Thursday,438.517
80,3,21,0,7,Thursday,595.783
80,3,21,0,8,Thursday,662.737
80,3,21,0,9,Thursday,607.251
80,3,21,0,10,Thursday,581.662
80,3,21,0,11,Thursday,595.761
80,3,21,0,12,Thursday,608.378
80,3,21,0,13,Thursday,633.388
80,3,21,0,14,Thursday,599.397
80,3,21,0,15,Thursday,624.878
80,3,21,0,16,Thursday,754.702
80,3,21,0,17,Thursday,1119.17
80,3,21,0,18,Thursday,1452.512
80,3,21,0,19,Thursday,1338.304
80,3,21,0,20,Thursday,1127.002
80,3,21,0,21,Thursday,938.653
80,3,21,0,22,Thursday,776.766
80,3,21,0,23,Thursday,603.41
80,3,21,0,24,Thursday,491.474
81,3,22,0,1,Friday,421.186
81,3,22,0,2,Friday,381.319
81,3,22,0,3,Friday,367.392
81,3,22,0,4,Friday,365.367
81,3,22,0,5,Friday,376.17
81,3,22,0,6,Friday,438.517
81,3,22,0,7,Friday,595.783
81,3,22,0,8,Friday,662.737
81,3,22,0,9,Friday,607.251
81,3,22,0,10,Friday,581.662
81,3,22,0,11,Friday,595.761
81,3,22,0,12,Friday,608.378
81,3,22,0,13,Friday,633.388
81,3,22,0,14,Friday,599.397
81,3,22,0,15,Friday,624.878
81,3,22,0,16,Friday,754.702
81,3,22,0,17,Friday,1119.17
81,3,22,0,18,Friday,1452.512
81,3,22,0,19,Friday,1338.304
81,3,22,0,20,Friday,1127.002
81,3,22,0,21,Friday,938.653
81,3,22,0,22,Friday,776.766
81,3,22,0,23,Friday,603.41
81,3,22,0,24,Friday,491.474
82,3,23,0,1,Saturday,445.843
82,3,23,0,2,Saturday,393.997
82,3,23,0,3,Saturday,369.982
82,3,23,0,4,Saturday,364.782
82,3,23,0,5,Saturday,371.93
82,3,23,0,6,Saturday,387.485
82,3,23,0,7,Saturday,472.67
82,3,23,0,8,Saturday,605.47
82,3,23,0,9,Saturday,697.663
82,3,23,0,10,Saturday,787.551
82,3,23,0,11,Saturday,865.457
82,3,23,0,12,Saturday,881.378
82,3,23,0,13,Saturday,839.495
82,3,23,0,14,Saturday,839.577
82,3,23,0,15,Saturday,805.005
82,3,23,0,16,Saturday,891.599
82,3,23,0,17,Saturday,1153.224
82,3,23,0,18,Saturday,1325.023
82,3,23,0,19,Saturday,1208.335
82,3,23,0,20,Saturday,1019.081
82,3,23,0,21,Saturday,886.743
82,3,23,0,22,Saturday,753.739
82,3,23,0,23,Saturday,595.242
82,3,23,0,24,Saturday,509.468
83,3,24,0,1,Sunday,445.843
83,3,24,0,2,Sunday,393.997
83,3,24,0,3,Sunday,369.982
83,3,24,0,4,Sunday,364.782
83,3,24,0,5,Sunday,371.93
83,3,24,0,6,Sunday,387.485
83,3,24,0,7,Sunday,472.67
83,3,24,0,8,Sunday,605.47
83,3,24,0,9,Sunday,697.663
83,3,24,0,10,Sunday,787.551
83,3,24,0,11,Sunday,865.457
83,3,24,0,12,Sunday,881.378
83,3,24,0,13,Sunday,839.495
83,3,24,0,14,Sunday,839.577
83,3,24,0,15,Sunday,805.005
83,3,24,0,16,Sunday,891.599
83,3,24,0,17,Sunday,1153.224
83,3,24,0,18,Sunday,1325.023
83,3,24,0,19,Sunday,1208.335
83,3,24,0,20,Sunday,1019.081
83,3,24,0,21,Sunday,886.743
83,3,24,0,22,Sunday,753.739
83,3,24,0,23,Sunday,595.242
83,3,24,0,24,Sunday,509.468
84,3,25,0,1,Monday,421.186
84,3,25,0,2,Monday,381.319
84,3,25,0,3,Monday,367.392
84,3,25,0,4,Monday,365.367
84,3,25,0,5,Monday,376.17
84,3,25,0,6,Monday,438.517
84,3,25,0,7,Monday,595.783
84,3,25,0,8,Monday,662.737
84,3,25,0,9,Monday,607.251
84,3,25,0,10,Monday,581.662
84,3,25,0,11,Monday,595.761
84,3,25,0,12,Monday,608.378
84,3,25,0,13,Monday,633.388
84,3,25,0,14,Monday,599.397
84,3,25,0,15,Monday,624.878
84,3,25,0,16,Monday,754.702
84,3,25,0,17,Monday,1119.17
84,3,25,0,18,Monday,1452.512
84,3,25,0,19,Monday,1338.304
84,3,25,0,20,Monday,1127.002
84,3,25,0,21,Monday,938.653
84,3,25,0,22,Monday,776.766
84,3,25,0,23,Monday,603.41
84,3,25,0,24,Monday,491.474
85,3,26,0,1,Tuesday,421.186
85,3,26,0,2,Tuesday,381.319
85,3,26,0,3,Tuesday,367.392
85,3,26,0,4,Tuesday,365.367
85,3,26,0,5,Tuesday,376.17
85,3,26,0,6,Tuesday,438.517
85,3,26,0,7,Tuesday,595.783
85,3,26,0,8,Tuesday,662.737
85,3,26,0,9,Tuesday,607.251
85,3,26,0,10,Tuesday,581.662
85,3,26,0,11,Tuesday,595.761
85,3,26,0,12,Tuesday,608.378
85,3,26,0,13,Tuesday,633.388
85,3,26,0,14,Tuesday,599.397
85,3,26,0,15,Tuesday,624.878
85,3,26,0,16,Tuesday,754.702
85,3,26,0,17,Tuesday,1119.17
85,3,26,0,18,Tuesday,1452.512
85,3,26,0,19,Tuesday,1338.304
85,3,26,0,20,Tuesday,1127.002
85,3,26,0,21,Tuesday,938.653
85,3,26,0,22,Tuesday,776.766
85,3,26,0,23,Tuesday,603.41
85,3,26,0,24,Tuesday,491.474
86,3,27,0,1,Wednesday,421.186
86,3,27,0,2,Wednesday,381.319
86,3,27,0,3,Wednesday,367.392
86,3,27,0,4,Wednesday,365.367
86,3,27,0,5,Wednesday,376.17
86,3,27,0,6,Wednesday,438.517
86,3,27,0,7,Wednesday,595.783
86,3,27,0,8,Wednesday,662.737
86,3,27,0,9,Wednesday,607.251
86,3,27,0,10,Wednesday,581.662
86,3,27,0,11,Wednesday,595.761
86,3,27,0,12,Wednesday,608.378
86,3,27,0,13,Wednesday,633.388
86,3,27,0,14,Wednesday,599.397
86,3,27,0,15,Wednesday,624.878
86,3,27,0,16,Wednesday,754.702
86,3,27,0,17,Wednesday,1119.17
86,3,27,0,18,Wednesday,1452.512
86,3,27,0,19,Wednesday,1338.304
86,3,27,0,20,Wednesday,1127.002
86,3,27,0,21,Wednesday,938.653
86,3,27,0,22,Wednesday,776.766
86,3,27,0,23,Wednesday,603.41
86,3,27,0,24,Wednesday,491.474
87,3,28,0,1,Thursday,421.186
87,3,28,0,2,Thursday,381.319
87,3,28,0,3,Thursday,367.392
87,3,28,0,4,Thursday,365.367
87,3,28,0,5,Thursday,376.17
87,3,28,0,6,Thursday,438.517
87,3,28,0,7,Thursday,595.783
87,3,28,0,8,Thursday,662.737
87,3,28,0,9,Thursday,607.251
87,3,28,0,10,Thursday,581.662
87,3,28,0,11,Thursday,595.761
87,3,28,0,12,Thursday,608.378
87,3,28,0,13,Thursday,633.388
87,3,28,0,14,Thursday,599.397
87,3,28,0,15,Thursday,624.878
87,3,28,0,16,Thursday,754.702
87,3,28,0,17,Thursday,1119.17
87,3,28,0,18,Thursday,1452.512
87,3,28,0,19,Thursday,1338.304
87,3,28,0,20,Thursday,1127.002
87,3,28,0,21,Thursday,938.653
87,3,28,0,22,Thursday,776.766
87,3,28,0,23,Thursday,603.41
87,3,28,0,24,Thursday,491.474
88,3,29,0,1,Friday,421.186
88,3,29,0,2,Friday,381.319
88,3,29,0,3,Friday,367.392
88,3,29,0,4,Friday,365.367
88,3,29,0,5,Friday,376.17
88,3,29,0,6,Friday,438.517
88,3,29,0,7,Friday,595.783
88,3,29,0,8,Friday,662.737
88,3,29,0,9,Friday,607.251
88,3,29,0,10,Friday,581.662
88,3,29,0,11,Friday,595.761
88,3,29,0,12,Friday,608.378
88,3,29,0,13,Friday,633.388
88,3,29,0,14,Friday,599.397
88,3,29,0,15,Friday,624.878
88,3,29,0,16,Friday,754.702
88,3,29,0,17,Friday,1119.17
88,3,29,0,18,Friday,1452.512
88,3,29,0,19,Friday,1338.304
88,3,29,0,20,Friday,1127.002
88,3,29,0,21,Friday,938.653
88,3,29,0,22,Friday,776.766
88,3,29,0,23,Friday,603.41
88,3,29,0,24,Friday,491.474
89,3,30,0,1,Saturday,445.843
89,3,30,0,2,Saturday,393.997
89,3,30,0,3,Saturday,369.982
89,3,30,0,4,Saturday,364.782
89,3,30,0,5,Saturday,371.93
89,3,30,0,6,Saturday,387.485
89,3,30,0,7,Saturday,472.67
89,3,30,0,8,Saturday,605.47
89,3,30,0,9,Saturday,697.663
89,3,30,0,10,Saturday,787.551
89,3,30,0,11,Saturday,865.457
89,3,30,0,12,Saturday,881.378
89,3,30,0,13,Saturday,839.495
89,3,30,0,14,Saturday,839.577
89,3,30,0,15,Saturday,805.005
89,3,30,0,16,Saturday,891.599
89,3,30,0,17,Saturday,1153.224
89,3,30,0,18,Saturday,1325.023
89,3,30,0,19,Saturday,1208.335
89,3,30,0,20,Saturday,1019.081
89,3,30,0,21,Saturday,886.743
89,3,30,0,22,Saturday,753.739
89,3,30,0,23,Saturday,595.242
89,3,30,0,24,Saturday,509.468
90,3,31,0,1,Sunday,445.843
90,3,31,0,2,Sunday,393.997
90,3,31,0,3,Sunday,369.982
90,3,31,0,4,Sunday,364.782
90,3,31,0,5,Sunday,371.93
90,3,31,0,6,Sunday,387.485
90,3,31,0,7,Sunday,472.67
90,3,31,0,8,Sunday,605.47
90,3,31,0,9,Sunday,697.663
90,3,31,0,10,Sunday,787.551
90,3,31,0,11,Sunday,865.457
90,3,31,0,12,Sunday,881.378
90,3,31,0,13,Sunday,839.495
90,3,31,0,14,Sunday,839.577
90,3,31,0,15,Sunday,805.005
90,3,31,0,16,Sunday,891.599
90,3,31,0,17,Sunday,1153.224
90,3,31,0,18,Sunday,1325.023
90,3,31,0,19,Sunday,1208.335
90,3,31,0,20,Sunday,1019.081
90,3,31,0,21,Sunday,886.743
90,3,31,0,22,Sunday,753.739
90,3,31,0,23,Sunday,595.242
90,3,31,0,24,Sunday,509.468
91,4,1,0,1,Monday,421.186
91,4,1,0,2,Monday,381.319
91,4,1,0,3,Monday,367.392
91,4,1,0,4,Monday,365.367
91,4,1,0,5,Monday,376.17
91,4,1,0,6,Monday,438.517
91,4,1,0,7,Monday,595.783
91,4,1,0,8,Monday,662.737
91,4,1,0,9,Monday,607.251
91,4,1,0,10,Monday,581.662
91,4,1,0,11,Monday,595.761
91,4,1,0,12,Monday,608.378
91,4,1,0,13,Monday,633.388
91,4,1,0,14,Monday,599.397
91,4,1,0,15,Monday,624.878
91,4,1,0,16,Monday,754.702
91,4,1,0,17,Monday,1119.17
91,4,1,0,18,Monday,1452.512
91,4,1,0,19,Monday,1338.304
91,4,1,0,20,Monday,1127.002
91,4,1,0,21,Monday,938.653
91,4,1,0,22,Monday,776.766
91,4,1,0,23,Monday,603.41
91,4,1,0,24,Monday,491.474
92,4,2,0,1,Tuesday,421.186
92,4,2,0,2,Tuesday,381.319
92,4,2,0,3,Tuesday,367.392
92,4,2,0,4,Tuesday,365.367
92,4,2,0,5,Tuesday,376.17
92,4,2,0,6,Tuesday,438.517
92,4,2,0,7,Tuesday,595.783
92,4,2,0,8,Tuesday,662.737
92,4,2,0,9,Tuesday,607.251
92,4,2,0,10,Tuesday,581.662
92,4,2,0,11,Tuesday,595.761
92,4,2,0,12,Tuesday,608.378
92,4,2,0,13,Tuesday,633.388
92,4,2,0,14,Tuesday,599.397
92,4,2,0,15,Tuesday,624.878
92,4,2,0,16,Tuesday,754.702
92,4,2,0,17,Tuesday,1119.17
92,4,2,0,18,Tuesday,1452.512
92,4,2,0,19,Tuesday,1338.304
92,4,2,0,20,Tuesday,1127.002
92,4,2,0,21,Tuesday,938.653
92,4,2,0,22,Tuesday,776.766
92,4,2,0,23,Tuesday,603.41
92,4,2,0,24,Tuesday,491.474
93,4,3,0,1,Wednesday,421.186
93,4,3,0,2,Wednesday,381.319
93,4,3,0,3,Wednesday,367.392
93,4,3,0,4,Wednesday,365.367
93,4,3,0,5,Wednesday,376.17
93,4,3,0,6,Wednesday,438.517
93,4,3,0,7,Wednesday,595.783
93,4,3,0,8,Wednesday,662.737
93,4,3,0,9,Wednesday,607.251
93,4,3,0,10,Wednesday,581.662
93,4,3,0,11,Wednesday,595.761
93,4,3,0,12,Wednesday,608.378
93,4,3,0,13,Wednesday,633.388
93,4,3,0,14,Wednesday,599.397
93,4,3,0,15,Wednesday,624.878
93,4,3,0,16,Wednesday,754.702
93,4,3,0,17,Wednesday,1119.17
93,4,3,0,18,Wednesday,1452.512
93,4,3,0,19,Wednesday,1338.304
93,4,3,0,20,Wednesday,1127.002
93,4,3,0,21,Wednesday,938.653
93,4,3,0,22,Wednesday,776.766
93,4,3,0,23,Wednesday,603.41
93,4,3,0,24,Wednesday,491.474
94,4,4,0,1,Thursday,421.186
94,4,4,0,2,Thursday,381.319
94,4,4,0,3,Thursday,367.392
94,4,4,0,4,Thursday,365.367
94,4,4,0,5,Thursday,376.17
94,4,4,0,6,Thursday,438.517
94,4,4,0,7,Thursday,595.783
94,4,4,0,8,Thursday,662.737
94,4,4,0,9,Thursday,607.251
94,4,4,0,10,Thursday,581.662
94,4,4,0,11,Thursday,595.761
94,4,4,0,12,Thursday,608.378
94,4,4,0,13,Thursday,633.388
94,4,4,0,14,Thursday,599.397
94,4,4,0,15,Thursday,624.878
94,4,4,0,16,Thursday,754.702
94,4,4,0,17,Thursday,1119.17
94,4,4,0,18,Thursday,1452.512
94,4,4,0,19,Thursday,1338.304
94,4,4,0,20,Thursday,1127.002
94,4,4,0,21,Thursday,938.653
94,4,4,0,22,Thursday,776.766
94,4,4,0,23,Thursday,603.41
94,4,4,0,24,Thursday,491.474
95,4,5,0,1,Friday,421.186
95,4,5,0,2,Friday,381.319
95,4,5,0,3,Friday,367.392
95,4,5,0,4,Friday,365.367
95,4,5,0,5,Friday,376.17
95,4,5,0,6,Friday,438.517
95,4,5,0,7,Friday,595.783
95,4,5,0,8,Friday,662.737
95,4,5,0,9,Friday,607.251
95,4,5,0,10,Friday,581.662
95,4,5,0,11,Friday,595.761
95,4,5,0,12,Friday,608.378
95,4,5,0,13,Friday,633.388
95,4,5,0,14,Friday,599.397
95,4,5,0,15,Friday,624.878
95,4,5,0,16,Friday,754.702
95,4,5,0,17,Friday,1119.17
95,4,5,0,18,Friday,1452.512
95,4,5,0,19,Friday,1338.304
95,4,5,0,20,Friday,1127.002
95,4,5,0,21,Friday,938.653
95,4,5,0,22,Friday,776.766
95,4,5,0,23,Friday,603.41
95,4,5,0,24,Friday,491.474
96,4,6,0,1,Saturday,445.843
96,4,6,0,2,Saturday,393.997
96,4,6,0,3,Saturday,369.982
96,4,6,0,4,Saturday,364.782
96,4,6,0,5,Saturday,371.93
96,4,6,0,6,Saturday,387.485
96,4,6,0,7,Saturday,472.67
96,4,6,0,8,Saturday,605.47
96,4,6,0,9,Saturday,697.663
96,4,6,0,10,Saturday,787.551
96,4,6,0,11,Saturday,865.457
96,4,6,0,12,Saturday,881.378
96,4,6,0,13,Saturday,839.495
96,4,6,0,14,Saturday,839.577
96,4,6,0,15,Saturday,805.005
96,4,6,0,16,Saturday,891.599
96,4,6,0,17,Saturday,1153.224
96,4,6,0,18,Saturday,1325.023
96,4,6,0,19,Saturday,1208.335
96,4,6,0,20,Saturday,1019.081
96,4,6,0,21,Saturday,886.743
96,4,6,0,22,Saturday,753.739
96,4,6,0,23,Saturday,595.242
96,4,6,0,24,Saturday,509.468
97,4,7,0,1,Sunday,445.843
97,4,7,0,2,Sunday,393.997
97,4,7,0,3,Sunday,369.982
97,4,7,0,4,Sunday,364.782
97,4,7,0,5,Sunday,371.93
97,4,7,0,6,Sunday,387.485
97,4,7,0,7,Sunday,472.67
97,4,7,0,8,Sunday,605.47
97,4,7,0,9,Sunday,697.663
97,4,7,0,10,Sunday,787.551
97,4,7,0,11,Sunday,865.457
97,4,7,0,12,Sunday,881.378
97,4,7,0,13,Sunday,839.495
97,4,7,0,14,Sunday,839.577
97,4,7,0,15,Sunday,805.005
97,4,7,0,16,Sunday,891.599
97,4,7,0,17,Sunday,1153.224
97,4,7,0,18,Sunday,1325.023
97,4,7,0,19,Sunday,1208.335
97,4,7,0,20,Sunday,1019.081
97,4,7,0,21,Sunday,886.743
97,4,7,0,22,Sunday,753.739
97,4,7,0,23,Sunday,595.242
97,4,7,0,24,Sunday,509.468
98,4,8,0,1,Monday,421.186
98,4,8,0,2,Monday,381.319
98,4,8,0,3,Monday,367.392
98,4,8,0,4,Monday,365.367
98,4,8,0,5,Monday,376.17
98,4,8,0,6,Monday,438.517
98,4,8,0,7,Monday,595.783
98,4,8,0,8,Monday,662.737
98,4,8,0,9,Monday,607.251
98,4,8,0,10,Monday,581.662
98,4,8,0,11,Monday,595.761
98,4,8,0,12,Monday,608.378
98,4,8,0,13,Monday,633.388
98,4,8,0,14,Monday,599.397
98,4,8,0,15,Monday,624.878
98,4,8,0,16,Monday,754.702
98,4,8,0,17,Monday,1119.17
98,4,8,0,18,Monday,1452.512
98,4,8,0,19,Monday,1338.304
98,4,8,0,20,Monday,1127.002
98,4,8,0,21,Monday,938.653
98,4,8,0,22,Monday,776.766
98,4,8,0,23,Monday,603.41
98,4,8,0,24,Monday,491.474
99,4,9,0,1,Tuesday,421.186
99,4,9,0,2,Tuesday,381.319
99,4,9,0,3,Tuesday,367.392
99,4,9,0,4,Tuesday,365.367
99,4,9,0,5,Tuesday,376.17
99,4,9,0,6,Tuesday,438.517
99,4,9,0,7,Tuesday,595.783
99,4,9,0,8,Tuesday,662.737
99,4,9,0,9,Tuesday,607.251
99,4,9,0,10,Tuesday,581.662
99,4,9,0,11,Tuesday,595.761
99,4,9,0,12,Tuesday,608.378
99,4,9,0,13,Tuesday,633.388
99,4,9,0,14,Tuesday,599.397
99,4,9,0,15,Tuesday,624.878
99,4,9,0,16,Tuesday,754.702
99,4,9,0,17,Tuesday,1119.17
99,4,9,0,18,Tuesday,1452.512
99,4,9,0,19,Tuesday,1338.304
99,4,9,0,20,Tuesday,1127.002
99,4,9,0,21,Tuesday,938.653
99,4,9,0,22,Tuesday,776.766
99,4,9,0,23,Tuesday,603.41
99,4,9,0,24,Tuesday,491.474
100,4,10,0,1,Wednesday,421.186
100,4,10,0,2,Wednesday,381.319
100,4,10,0,3,Wednesday,367.392
100,4,10,0,4,Wednesday,365.367
100,4,10,0,5,Wednesday,376.17
100,4,10,0,6,Wednesday,438.517
100,4,10,0,7,Wednesday,595.783
100,4,10,0,8,Wednesday,662.737
100,4,10,0,9,Wednesday,607.251
100,4,10,0,10,Wednesday,581.662
100,4,10,0,11,Wednesday,595.761
100,4,10,0,12,Wednesday,608.378
100,4,10,0,13,Wednesday,633.388
100,4,10,0,14,Wednesday,599.397
100,4,10,0,15,Wednesday,624.878
100,4,10,0,16,Wednesday,754.702
100,4,10,0,17,Wednesday,1119.17
100,4,10,0,18,Wednesday,1452.512
100,4,10,0,19,Wednesday,1338.304
100,4,10,0,20,Wednesday,1127.002
100,4,10,0,21,Wednesday,938.653
100,4,10,0,22,Wednesday,776.766
100,4,10,0,23,Wednesday,603.41
100,4,10,0,24,Wednesday,491.474
101,4,11,0,1,Thursday,421.186
101,4,11,0,2,Thursday,381.319
101,4,11,0,3,Thursday,367.392
101,4,11,0,4,Thursday,365.367
101,4,11,0,5,Thursday,376.17
101,4,11,0,6,Thursday,438.517
101,4,11,0,7,Thursday,595.783
101,4,11,0,8,Thursday,662.737
101,4,11,0,9,Thursday,607.251
101,4,11,0,10,Thursday,581.662
101,4,11,0,11,Thursday,595.761
101,4,11,0,12,Thursday,608.378
101,4,11,0,13,Thursday,633.388
101,4,11,0,14,Thursday,599.397
101,4,11,0,15,Thursday,624.878
101,4,11,0,16,Thursday,754.702
101,4,11,0,17,Thursday,1119.17
101,4,11,0,18,Thursday,1452.512
101,4,11,0,19,Thursday,1338.304
101,4,11,0,20,Thursday,1127.002
101,4,11,0,21,Thursday,938.653
101,4,11,0,22,Thursday,776.766
101,4,11,0,23,Thursday,603.41
101,4,11,0,24,Thursday,491.474
102,4,12,0,1,Friday,421.186
102,4,12,0,2,Friday,381.319
102,4,12,0,3,Friday,367.392
