electricity_plan_name,fixed_rate,import_rates_day,import_rates_night,import_rates_export,kg_co2e_per_kwh
Electricity PlanId 91543,3.208500,0.238740,0.238740,0.120000,0.107200
Electricity PlanId 160956,3.050950,0.313490,0.193890,0.120000,0.107200
Electricity PlanId 160831,2.590950,0.213440,0.175490,0.120000,0.107200
Electricity PlanId 91527,3.277500,0.282440,0.282440,0.120000,0.107200
Electricity PlanId 160753,2.428800,0.257140,0.205390,0.120000,0.107200
Electricity PlanId 161005,2.150500,0.282440,0.154790,0.120000,0.107200
Electricity PlanId 161155,2.733550,0.213440,0.213440,0.120000,0.107200
Electricity PlanId 160772,2.070000,0.274390,0.182390,0.120000,0.107200
Electricity PlanId 161928,1.496495,0.306940,0.306940,0.120000,0.107200
Electricity PlanId 161153,2.071150,0.299690,0.257140,0.120000,0.107200
Electricity PlanId 99894,3.852500,0.228505,0.228505,0.120000,0.107200
Electricity PlanId 160727,2.073450,0.338790,0.159390,0.120000,0.107200
Electricity PlanId 161661,2.080350,0.313490,0.226090,0.120000,0.107200
Electricity PlanId 160770,2.417300,0.212290,0.172040,0.120000,0.107200
Electricity PlanId 160957,2.174650,0.265190,0.151340,0.120000,0.107200
Electricity PlanId 160966,3.360300,0.280140,0.243340,0.120000,0.107200
Electricity PlanId 169118,3.178600,0.253690,0.199640,0.120000,0.107200
Electricity PlanId 160743,2.072300,0.293940,0.123740,0.120000,0.107200
Electricity PlanId 177843,1.587000,0.233105,0.233105,0.120000,0.107200
Electricity PlanId 160980,2.305750,0.393990,0.151340,0.120000,0.107200
Electricity PlanId 160789,3.000350,0.346840,0.189290,0.120000,0.107200
Electricity PlanId 160969,3.713350,0.208840,0.134090,0.120000,0.107200
Electricity PlanId 160746,2.072300,0.350290,0.108560,0.120000,0.107200
Electricity PlanId 161076,2.864650,0.347990,0.143290,0.120000,0.107200
Electricity PlanId 161074,3.818000,0.245640,0.115460,0.120000,0.107200
Electricity PlanId 160808,2.351750,0.327290,0.113735,0.120000,0.107200
Electricity PlanId 160918,2.073450,0.267490,0.115115,0.120000,0.107200
