climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,cooktop_type,annual_variable_cost,annual_kg_co2e
Northland,Electricity PlanId 161752,Methane PlanId 172326,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,46.53280216802168,80.32520325203252
Northland,Electricity PlanId 161752,Methane PlanId 172326,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Northland,Electricity PlanId 161752,Methane PlanId 172326,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),42.135501355013545,18.883468834688347
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,48.19528455284553,17.082276422764227
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,46.55648780487805,80.32520325203252
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),53.27710027100271,18.883468834688347
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,48.19528455284553,17.082276422764227
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,46.55648780487805,80.32520325203252
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Auckland,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),53.27710027100271,18.883468834688347
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,48.19528455284553,17.082276422764227
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,46.55648780487805,80.32520325203252
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),53.27710027100271,18.883468834688347
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,48.19528455284553,17.082276422764227
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,46.55648780487805,80.32520325203252
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 10261,Methane PlanId 172328,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),53.27710027100271,18.883468834688347
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,41.59821138211382,17.082276422764227
Hamilton,Electricity PlanId 161846,Methane PlanId 172250,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,55.874417344173445,80.32520325203252
